Trait_code	Trait_name	Domain	ChapterLevel	SubchapterLevel	OriginalFileName	EvonneFileName
1418_2	Milk type used: Semi-skimmed	Nutritional	Self-Care	Food	1418_2.ldsc.imputed_v3.both_sexes.tsv.bgz	Milk_type_used:_Semi-skimmed.1418_2.bgz
1418_3	Milk type used: Skimmed	Nutritional	Self-Care	Food	1418_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Milk_type_used:_Skimmed.1418_3.bgz
1428_0	Spread type: Never/rarely use spread	Nutritional	Self-Care	Food	1428_0.ldsc.imputed_v3.both_sexes.tsv.bgz	Spread_type:_Neverrarely_use_spread.1428_0.bgz
1428_1	Spread type: Butter/spreadable butter	Nutritional	Self-Care	Food	1428_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Spread_type:_Butterspreadable_butter.1428_1.bgz
1428_3	Spread type: Other type of spread/margarine	Nutritional	Self-Care	Food	1428_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Spread_type:_Other_type_of_spreadmargarine.1428_3.bgz
1438_irnt	Bread intake	Nutritional	Self-Care	Food	1438_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Bread_intake.1438_irnt.bgz
1448_1	Bread type: White	Nutritional	Self-Care	Food	1448_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Bread_type:_White.1448_1.bgz
1448_3	Bread type: Wholemeal or wholegrain	Nutritional	Self-Care	Food	1448_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Bread_type:_Wholemeal_or_wholegrain.1448_3.bgz
1458	Cereal intake	Nutritional	Self-Care	Food	1458.ldsc.imputed_v3.both_sexes.tsv.bgz	Cereal_intake.1458.bgz
1468_4	Cereal type: Muesli	Nutritional	Self-Care	Food	1468_4.ldsc.imputed_v3.both_sexes.tsv.bgz	Cereal_type:_Muesli.1468_4.bgz
1468_5	Cereal type: Other (e.g. Cornflakes, Frosties)	Nutritional	Self-Care	Food	1468_5.ldsc.imputed_v3.both_sexes.tsv.bgz	Cereal_type:_Other_e.g._Cornflakes,_Frosties.1468_5.bgz
1478	Salt added to food	Nutritional	Self-Care	Food	1478.ldsc.imputed_v3.both_sexes.tsv.bgz	Salt_added_to_food.1478.bgz
1488_irnt	Tea intake	Nutritional	Self-Care	Food	1488_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Tea_intake.1488_irnt.bgz
1498	Coffee intake	Nutritional	Self-Care	Food	1498.ldsc.imputed_v3.both_sexes.tsv.bgz	Coffee_intake.1498.bgz
1508_2	Coffee type: Instant coffee	Nutritional	Self-Care	Food	1508_2.ldsc.imputed_v3.both_sexes.tsv.bgz	Coffee_type:_Instant_coffee.1508_2.bgz
1508_3	Coffee type: Ground coffee (include espresso, filter etc)	Nutritional	Self-Care	Food	1508_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Coffee_type:_Ground_coffee_include_espresso,_filter_etc.1508_3.bgz
1518	Hot drink temperature	Nutritional	Self-Care	Food	1518.ldsc.imputed_v3.both_sexes.tsv.bgz	Hot_drink_temperature.1518.bgz
1528	Water intake	Nutritional	Self-Care	Food	1528.ldsc.imputed_v3.both_sexes.tsv.bgz	Water_intake.1528.bgz
1538_0	Major dietary changes in the last 5 years: No	Nutritional	Self-Care	Food	1538_0.ldsc.imputed_v3.both_sexes.tsv.bgz	Major_dietary_changes_in_the_last_5_years:_No.1538_0.bgz
1538_1	Major dietary changes in the last 5 years: Yes, because of illness	Nutritional	Self-Care	Food	1538_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Major_dietary_changes_in_the_last_5_years:_Yes,_because_of_illness.1538_1.bgz
1538_2	Major dietary changes in the last 5 years: Yes, because of other reasons	Nutritional	Self-Care	Food	1538_2.ldsc.imputed_v3.both_sexes.tsv.bgz	Major_dietary_changes_in_the_last_5_years:_Yes,_because_of_other_reasons.1538_2.bgz
1548	Variation in diet	Nutritional	Self-Care	Food	1548.ldsc.imputed_v3.both_sexes.tsv.bgz	Variation_in_diet.1548.bgz
1568	Average weekly red wine intake	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Alcohol	1568.ldsc.imputed_v3.both_sexes.tsv.bgz	Average_weekly_red_wine_intake.1568.bgz
1578	Average weekly champagne plus white wine intake	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Alcohol	1578.ldsc.imputed_v3.both_sexes.tsv.bgz	Average_weekly_champagne_plus_white_wine_intake.1578.bgz
1588	Average weekly beer plus cider intake	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Alcohol	1588.ldsc.imputed_v3.both_sexes.tsv.bgz	Average_weekly_beer_plus_cider_intake.1588.bgz
1598	Average weekly spirits intake	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Alcohol	1598.ldsc.imputed_v3.both_sexes.tsv.bgz	Average_weekly_spirits_intake.1598.bgz
1618	Alcohol usually taken with meals	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Alcohol	1618.ldsc.imputed_v3.both_sexes.tsv.bgz	Alcohol_usually_taken_with_meals.1618.bgz
1628	Alcohol intake versus 10 years previously	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Alcohol	1628.ldsc.imputed_v3.both_sexes.tsv.bgz	Alcohol_intake_versus_10_years_previously.1628.bgz
1687	Comparative body size at age 10	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	1687.ldsc.imputed_v3.both_sexes.tsv.bgz	Comparative_body_size_at_age_10.1687.bgz
1697	Comparative height size at age 10	Skeletal	Structures Related to Movement	Height	1697.ldsc.imputed_v3.both_sexes.tsv.bgz	Comparative_height_size_at_age_10.1697.bgz
1757	Facial ageing	Activities	Self-Care	Looking After One's Health	1757.ldsc.imputed_v3.both_sexes.tsv.bgz	Facial_ageing.1757.bgz
1787	Maternal smoking around birth	Environment	Major Life Areas	Problems Related to Upbringing	1787.ldsc.imputed_v3.both_sexes.tsv.bgz	Maternal_smoking_around_birth.1787.bgz
1807_irnt	Father's age at death	Mortality	Mortality	All-Cause Mortality	1807_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Fathers_age_at_death.1807_irnt.bgz
189_irnt	Townsend deprivation index at recruitment	Activities	Domestic Life	Acquisition of Necessities	189_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Townsend_deprivation_index_at_recruitment.189_irnt.bgz
1920	Mood swings	Psychiatric	Mental Functions	Temperament and Personality Functions	1920.ldsc.imputed_v3.both_sexes.tsv.bgz	Mood_swings.1920.bgz
1930	Miserableness	Psychiatric	Mental Functions	Temperament and Personality Functions	1930.ldsc.imputed_v3.both_sexes.tsv.bgz	Miserableness.1930.bgz
1940	Irritability	Psychiatric	Mental Functions	Temperament and Personality Functions	1940.ldsc.imputed_v3.both_sexes.tsv.bgz	Irritability.1940.bgz
1950	Sensitivity / hurt feelings	Psychiatric	Mental Functions	Temperament and Personality Functions	1950.ldsc.imputed_v3.both_sexes.tsv.bgz	Sensitivity__hurt_feelings.1950.bgz
1960	Fed-up feelings	Psychiatric	Mental Functions	Temperament and Personality Functions	1960.ldsc.imputed_v3.both_sexes.tsv.bgz	Fed-up_feelings.1960.bgz
1970	Nervous feelings	Psychiatric	Mental Functions	Temperament and Personality Functions	1970.ldsc.imputed_v3.both_sexes.tsv.bgz	Nervous_feelings.1970.bgz
1980	Worrier / anxious feelings	Psychiatric	Mental Functions	Temperament and Personality Functions	1980.ldsc.imputed_v3.both_sexes.tsv.bgz	Worrier__anxious_feelings.1980.bgz
1990	Tense / 'highly strung'	Psychiatric	Mental Functions	Temperament and Personality Functions	1990.ldsc.imputed_v3.both_sexes.tsv.bgz	Tense__highly_strung.1990.bgz
2000	Worry too long after embarrassment	Psychiatric	Mental Functions	Temperament and Personality Functions	2000.ldsc.imputed_v3.both_sexes.tsv.bgz	Worry_too_long_after_embarrassment.2000.bgz
20002_1065	Non-cancer illness code, self-reported: hypertension	Cardiovascular	Diseases of the Circulatory System	Essential (Primary) Hypertension	20002_1065.ldsc.imputed_v3.both_sexes.tsv.bgz	Non-cancer_illness_code,_self-reported:_hypertension.20002_1065.bgz
20002_1074	Non-cancer illness code, self-reported: angina	Cardiovascular	Diseases of the Circulatory System	Angina Pectoris	20002_1074.ldsc.imputed_v3.both_sexes.tsv.bgz	Non-cancer_illness_code,_self-reported:_angina.20002_1074.bgz
20002_1111	Non-cancer illness code, self-reported: asthma	Respiratory	Diseases of the Respiratory System	Asthma	20002_1111.ldsc.imputed_v3.both_sexes.tsv.bgz	Non-cancer_illness_code,_self-reported:_asthma.20002_1111.bgz
20002_1220	Non-cancer illness code, self-reported: diabetes	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Diabetes Mellitus	20002_1220.ldsc.imputed_v3.both_sexes.tsv.bgz	Non-cancer_illness_code,_self-reported:_diabetes.20002_1220.bgz
20002_1286	Non-cancer illness code, self-reported: depression	Psychiatric	Mental and Behavioural Disorders	Depressive Episode	20002_1286.ldsc.imputed_v3.both_sexes.tsv.bgz	Non-cancer_illness_code,_self-reported:_depression.20002_1286.bgz
20002_1387	Non-cancer illness code, self-reported: hayfever/allergic rhinitis	Respiratory	Diseases of the Respiratory System	Vasomotor and Allergic Rhinitis	20002_1387.ldsc.imputed_v3.both_sexes.tsv.bgz	Non-cancer_illness_code,_self-reported:_hayfeverallergic_rhinitis.20002_1387.bgz
20002_1465	Non-cancer illness code, self-reported: osteoarthritis	Skeletal	Diseases of the Musculoskeletal System and Connective Tissue	Other Arthrosis	20002_1465.ldsc.imputed_v3.both_sexes.tsv.bgz	Non-cancer_illness_code,_self-reported:_osteoarthritis.20002_1465.bgz
20002_1473	Non-cancer illness code, self-reported: high cholesterol	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	20002_1473.ldsc.imputed_v3.both_sexes.tsv.bgz	Non-cancer_illness_code,_self-reported:_high_cholesterol.20002_1473.bgz
20003_1140860806	Treatment/medication code: ramipril	Activities	Self-Care	Looking After One's Health	20003_1140860806.ldsc.imputed_v3.both_sexes.tsv.bgz	Treatmentmedication_code:_ramipril.20003_1140860806.bgz
20003_1140861958	Treatment/medication code: simvastatin	Activities	Self-Care	Looking After One's Health	20003_1140861958.ldsc.imputed_v3.both_sexes.tsv.bgz	Treatmentmedication_code:_simvastatin.20003_1140861958.bgz
20003_1140865634	Treatment/medication code: omeprazole	Activities	Self-Care	Looking After One's Health	20003_1140865634.ldsc.imputed_v3.both_sexes.tsv.bgz	Treatmentmedication_code:_omeprazole.20003_1140865634.bgz
20003_1140866738	Treatment/medication code: atenolol	Activities	Self-Care	Looking After One's Health	20003_1140866738.ldsc.imputed_v3.both_sexes.tsv.bgz	Treatmentmedication_code:_atenolol.20003_1140866738.bgz
20003_1140868226	Treatment/medication code: aspirin	Activities	Self-Care	Looking After One's Health	20003_1140868226.ldsc.imputed_v3.both_sexes.tsv.bgz	Treatmentmedication_code:_aspirin.20003_1140868226.bgz
20003_1140871310	Treatment/medication code: ibuprofen	Activities	Self-Care	Looking After One's Health	20003_1140871310.ldsc.imputed_v3.both_sexes.tsv.bgz	Treatmentmedication_code:_ibuprofen.20003_1140871310.bgz
20003_1140879802	Treatment/medication code: amlodipine	Activities	Self-Care	Looking After One's Health	20003_1140879802.ldsc.imputed_v3.both_sexes.tsv.bgz	Treatmentmedication_code:_amlodipine.20003_1140879802.bgz
20003_1141194794	Treatment/medication code: bendroflumethiazide	Activities	Self-Care	Looking After One's Health	20003_1141194794.ldsc.imputed_v3.both_sexes.tsv.bgz	Treatmentmedication_code:_bendroflumethiazide.20003_1141194794.bgz
20003_2038460150	Treatment/medication code: paracetamol	Activities	Self-Care	Looking After One's Health	20003_2038460150.ldsc.imputed_v3.both_sexes.tsv.bgz	Treatmentmedication_code:_paracetamol.20003_2038460150.bgz
20015_irnt	Sitting height	Skeletal	Structures Related to Movement	Height	20015_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Sitting_height.20015_irnt.bgz
20016_irnt	Fluid intelligence score	Cognitive	Mental Functions	Higher-Level Cognitive Functions	20016_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Fluid_intelligence_score.20016_irnt.bgz
20022_irnt	Birth weight	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	20022_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Birth_weight.20022_irnt.bgz
20023_irnt	Mean time to correctly identify matches	Cognitive	Mental Functions	Higher-Level Cognitive Functions	20023_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Mean_time_to_correctly_identify_matches.20023_irnt.bgz
2010	Suffer from 'nerves'	Psychiatric	Mental Functions	Temperament and Personality Functions	2010.ldsc.imputed_v3.both_sexes.tsv.bgz	Suffer_from_nerves.2010.bgz
20107_1	Illnesses of father: Heart disease	Environment	Major Life Areas	Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	20107_1.imputed_v3.ldsc.both_sexes.v2.tsv.bgz	Illnesses_of_father:_Heart_disease.20107_1.bgz
20107_8	Illnesses of father: High blood pressure	Environment	Major Life Areas	Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	20107_8.imputed_v3.ldsc.both_sexes.v2.tsv.bgz	Illnesses_of_father:_High_blood_pressure.20107_8.bgz
20107_9	Illnesses of father: Diabetes	Environment	Major Life Areas	Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	20107_9.imputed_v3.ldsc.both_sexes.v2.tsv.bgz	Illnesses_of_father:_Diabetes.20107_9.bgz
20110_100	Illnesses of mother: None of the above (group 1)	Environment	Major Life Areas	Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	20110_100.imputed_v3.ldsc.both_sexes.v2.tsv.bgz	Illnesses_of_mother:_None_of_the_above_group_1.20110_100.bgz
20110_8	Illnesses of mother: High blood pressure	Environment	Major Life Areas	Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	20110_8.imputed_v3.ldsc.both_sexes.v2.tsv.bgz	Illnesses_of_mother:_High_blood_pressure.20110_8.bgz
20110_9	Illnesses of mother: Diabetes	Environment	Major Life Areas	Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	20110_9.imputed_v3.ldsc.both_sexes.v2.tsv.bgz	Illnesses_of_mother:_Diabetes.20110_9.bgz
20111_1	Illnesses of siblings: Heart disease	Environment	Major Life Areas	Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	20111_1.imputed_v3.ldsc.both_sexes.v2.tsv.bgz	Illnesses_of_siblings:_Heart_disease.20111_1.bgz
20111_100	Illnesses of siblings: None of the above (group 1)	Environment	Major Life Areas	Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	20111_100.imputed_v3.ldsc.both_sexes.v2.tsv.bgz	Illnesses_of_siblings:_None_of_the_above_group_1.20111_100.bgz
20111_8	Illnesses of siblings: High blood pressure	Environment	Major Life Areas	Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	20111_8.imputed_v3.ldsc.both_sexes.v2.tsv.bgz	Illnesses_of_siblings:_High_blood_pressure.20111_8.bgz
20111_9	Illnesses of siblings: Diabetes	Environment	Major Life Areas	Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances	20111_9.imputed_v3.ldsc.both_sexes.v2.tsv.bgz	Illnesses_of_siblings:_Diabetes.20111_9.bgz
20116_0	Smoking status: Never	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	20116_0.ldsc.imputed_v3.both_sexes.tsv.bgz	Smoking_status:_Never.20116_0.bgz
20116_1	Smoking status: Previous	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	20116_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Smoking_status:_Previous.20116_1.bgz
20116_2	Smoking status: Current	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	20116_2.ldsc.imputed_v3.both_sexes.tsv.bgz	Smoking_status:_Current.20116_2.bgz
20117_2	Alcohol drinker status: Current	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Alcohol	20117_2.ldsc.imputed_v3.both_sexes.tsv.bgz	Alcohol_drinker_status:_Current.20117_2.bgz
20127_irnt	Neuroticism score	Psychiatric	Mental Functions	Temperament and Personality Functions	20127_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Neuroticism_score.20127_irnt.bgz
20128	Number of fluid intelligence questions attempted within time limit	Cognitive	Mental Functions	Higher-Level Cognitive Functions	20128.ldsc.imputed_v3.both_sexes.tsv.bgz	Number_of_fluid_intelligence_questions_attempted_within_time_limit.20128.bgz
20150_irnt	Forced expiratory volume in 1-second (FEV1), Best measure	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	20150_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Forced_expiratory_volume_in_1-second_FEV1,_Best_measure.20150_irnt.bgz
20151_irnt	Forced vital capacity (FVC), Best measure	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	20151_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Forced_vital_capacity_FVC,_Best_measure.20151_irnt.bgz
20153_irnt	Forced expiratory volume in 1-second (FEV1), predicted	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	20153_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Forced_expiratory_volume_in_1-second_FEV1,_predicted.20153_irnt.bgz
20154_irnt	Forced expiratory volume in 1-second (FEV1), predicted percentage	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	20154_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Forced_expiratory_volume_in_1-second_FEV1,_predicted_percentage.20154_irnt.bgz
20160	Ever smoked	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	20160.ldsc.imputed_v3.both_sexes.tsv.bgz	Ever_smoked.20160.bgz
2020	Loneliness, isolation	Psychiatric	Mental Functions	Temperament and Personality Functions	2020.ldsc.imputed_v3.both_sexes.tsv.bgz	Loneliness,_isolation.2020.bgz
2030	Guilty feelings	Psychiatric	Mental Functions	Temperament and Personality Functions	2030.ldsc.imputed_v3.both_sexes.tsv.bgz	Guilty_feelings.2030.bgz
2040	Risk taking	Psychiatric	Mental Functions	Temperament and Personality Functions	2040.ldsc.imputed_v3.both_sexes.tsv.bgz	Risk_taking.2040.bgz
20421	Ever felt worried, tense, or anxious for most of a month or longer	Psychiatric	Mental Functions	Temperament and Personality Functions	20421.ldsc.imputed_v3.both_sexes.tsv.bgz	Ever_felt_worried,_tense,_or_anxious_for_most_of_a_month_or_longer.20421.bgz
20441	Ever had prolonged loss of interest in normal activities	Psychiatric	Mental and Behavioural Disorders	Depressive Episode	20441.ldsc.imputed_v3.both_sexes.tsv.bgz	Ever_had_prolonged_loss_of_interest_in_normal_activities.20441.bgz
20446	Ever had prolonged feelings of sadness or depression	Psychiatric	Mental and Behavioural Disorders	Depressive Episode	20446.ldsc.imputed_v3.both_sexes.tsv.bgz	Ever_had_prolonged_feelings_of_sadness_or_depression.20446.bgz
20458	General happiness	Psychiatric	Mental Functions	Temperament and Personality Functions	20458.ldsc.imputed_v3.both_sexes.tsv.bgz	General_happiness.20458.bgz
20459	General happiness with own health	Psychiatric	Mental Functions	Temperament and Personality Functions	20459.ldsc.imputed_v3.both_sexes.tsv.bgz	General_happiness_with_own_health.20459.bgz
20460	Belief that own life is meaningful	Psychiatric	Mental Functions	Temperament and Personality Functions	20460.ldsc.imputed_v3.both_sexes.tsv.bgz	Belief_that_own_life_is_meaningful.20460.bgz
20479	Ever thought that life not worth living	Psychiatric	Mental Functions	Temperament and Personality Functions	20479.ldsc.imputed_v3.both_sexes.tsv.bgz	Ever_thought_that_life_not_worth_living.20479.bgz
20487	Felt hated by family member as a child	Psychiatric	Mental Functions	Temperament and Personality Functions	20487.ldsc.imputed_v3.both_sexes.tsv.bgz	Felt_hated_by_family_member_as_a_child.20487.bgz
20488	Physically abused by family as a child	Social Interactions	Interpersonal Interactions and Relationships	Family Relationships	20488.ldsc.imputed_v3.both_sexes.tsv.bgz	Physically_abused_by_family_as_a_child.20488.bgz
20489	Felt loved as a child	Psychiatric	Mental Functions	Temperament and Personality Functions	20489.ldsc.imputed_v3.both_sexes.tsv.bgz	Felt_loved_as_a_child.20489.bgz
20498	Felt very upset when reminded of stressful experience in past month	Psychiatric	Mental Functions	Temperament and Personality Functions	20498.ldsc.imputed_v3.both_sexes.tsv.bgz	Felt_very_upset_when_reminded_of_stressful_experience_in_past_month.20498.bgz
20499	Ever sought or received professional help for mental distress	Psychiatric	Mental Functions	Temperament and Personality Functions	20499.ldsc.imputed_v3.both_sexes.tsv.bgz	Ever_sought_or_received_professional_help_for_mental_distress.20499.bgz
2050	Frequency of depressed mood in last 2 weeks	Psychiatric	Mental Functions	Temperament and Personality Functions	2050.ldsc.imputed_v3.both_sexes.tsv.bgz	Frequency_of_depressed_mood_in_last_2_weeks.2050.bgz
20500	Ever suffered mental distress preventing usual activities	Psychiatric	Mental Functions	Temperament and Personality Functions	20500.ldsc.imputed_v3.both_sexes.tsv.bgz	Ever_suffered_mental_distress_preventing_usual_activities.20500.bgz
20502	Ever had period extreme irritability	Psychiatric	Mental Functions	Temperament and Personality Functions	20502.ldsc.imputed_v3.both_sexes.tsv.bgz	Ever_had_period_extreme_irritability.20502.bgz
20517	Trouble falling or staying asleep, or sleeping too much	Psychiatric	Mental and Behavioural Disorders	Depressive Episode	20517.ldsc.imputed_v3.both_sexes.tsv.bgz	Trouble_falling_or_staying_asleep,_or_sleeping_too_much.20517.bgz
20519	Recent feelings of tiredness or low energy	Psychiatric	Mental and Behavioural Disorders	Depressive Episode	20519.ldsc.imputed_v3.both_sexes.tsv.bgz	Recent_feelings_of_tiredness_or_low_energy.20519.bgz
20546_3	Substances taken for depression: Medication prescribed to you (for at least two weeks)	Psychiatric	Mental and Behavioural Disorders	Depressive Episode	20546_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Substances_taken_for_depression:_Medication_prescribed_to_you_for_at_least_two_weeks.20546_3.bgz
20547_1	Activities undertaken to treat depression: Talking therapies, such as psychotherapy, counselling, group therapy or CBT	Psychiatric	Mental Functions	Temperament and Personality Functions	20547_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Activities_undertaken_to_treat_depression:_Talking_therapies,_such_as_psychotherapy,_counselling,_group_therapy_or_CBT.20547_1.bgz
2060	Frequency of unenthusiasm / disinterest in last 2 weeks	Psychiatric	Mental Functions	Temperament and Personality Functions	2060.ldsc.imputed_v3.both_sexes.tsv.bgz	Frequency_of_unenthusiasm__disinterest_in_last_2_weeks.2060.bgz
2070	Frequency of tenseness / restlessness in last 2 weeks	Psychiatric	Mental Functions	Temperament and Personality Functions	2070.ldsc.imputed_v3.both_sexes.tsv.bgz	Frequency_of_tenseness__restlessness_in_last_2_weeks.2070.bgz
